Year,CSIRO Adjusted Sea Level
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.1
1902,0.1
1903,0.1
1904,0.1
1905,0.1
1906,0.1
1907,0.1
1908,0.1
1909,0.1
1910,0.1
1911,0.1
1912,0.1
1913,0.1
1914,0.1
1915,0.1
1916,0.1
1917,0.2
1918,0.2
1919,0.2
1920,0.2
1921,0.2
1922,0.2
1923,0.2
1924,0.2
1925,0.2
1926,0.2
1927,0.3
1928,0.3
1929,0.3
1930,0.3
1931,0.3
1932,0.3
1933,0.3
1934,0.3
1935,0.3
1936,0.3
1937,0.4
1938,0.4
1939,0.4
1940,0.4
1941,0.4
1942,0.4
1943,0.4
1944,0.4
1945,0.4
1946,0.4
1947,0.5
1948,0.5
1949,0.5
1950,0.5
1951,0.5
1952,0.5
1953,0.5
1954,0.5
1955,0.5
1956,0.5
1957,0.6
1958,0.6
1959,0.6
1960,0.6
1961,0.6
1962,0.6
1963,0.6
1964,0.6
1965,0.7
1966,0.7
1967,0.7
1968,0.7
1969,0.7
1970,0.7
1971,0.7
1972,0.7
1973,0.7
1974,0.8
1975,0.8
1976,0.8
1977,0.8
1978,0.8
1979,0.8
1980,0.9
1981,0.9
1982,0.9
1983,0.9
1984,0.9
1985,0.9
1986,1.0
1987,1.0
1988,1.0
1989,1.1
1990,1.1
1991,1.1
1992,1.2
1993,1.2
1994,1.3
1995,1.3
1996,1.3
1997,1.4
1998,1.4
1999,1.4
2000,1.4
2001,1.5
2002,1.5
2003,1.6
2004,1.6
2005,1.7
2006,1.7
2007,1.7
2008,1.8
2009,1.8
2010,1.9
2011,1.9
2012,2.0
2013,2.0
2014,2.1
2015,2.1
2016,2.2
2017,2.2
2018,2.3
2019,2.3
